# Threads,Inactive rate,Active rate
1.000000000000000e+00,6.648886214442789e+02,6.226967582865542e+02
5.000000000000000e+00,2.310757437904279e+03,2.132889502665932e+03
1.000000000000000e+01,4.370260023604503e+03,4.081588174278957e+03
1.500000000000000e+01,6.226557705640981e+03,5.831154024275823e+03
2.000000000000000e+01,7.791941973446772e+03,7.454075955833496e+03
2.500000000000000e+01,9.069579731115893e+03,8.639245353561661e+03
3.000000000000000e+01,1.031880804903030e+04,9.832169446713649e+03
3.500000000000000e+01,1.095470960683018e+04,1.076544766796227e+04
4.000000000000000e+01,1.192312006913853e+04,1.150631943397110e+04
4.500000000000000e+01,1.246412740001416e+04,1.236841753869906e+04
5.000000000000000e+01,1.215960540087155e+04,1.165011816360177e+04
5.500000000000000e+01,1.287036547038216e+04,1.234101537360626e+04
6.000000000000000e+01,1.345048918704864e+04,1.309624618394345e+04
6.500000000000000e+01,1.391168560424448e+04,1.398660501591312e+04
7.000000000000000e+01,1.433426156594522e+04,1.426854809927053e+04
7.500000000000000e+01,1.450617322545396e+04,1.500660465786046e+04
