# Threads,Inactive rate,Active rate
1.000000000000000e+00,nan,6.147477905444332e+03
5.000000000000000e+00,nan,1.782334865503717e+04
1.000000000000000e+01,nan,3.342492594207955e+04
1.500000000000000e+01,nan,4.513839734511614e+04
2.000000000000000e+01,nan,5.498433125588190e+04
2.500000000000000e+01,nan,6.358010677599185e+04
3.000000000000000e+01,nan,6.913201190550362e+04
3.500000000000000e+01,nan,7.323305294146865e+04
4.000000000000000e+01,nan,7.780753803546062e+04
4.500000000000000e+01,nan,8.066422293430536e+04
5.000000000000000e+01,nan,7.836857142532580e+04
5.500000000000000e+01,nan,8.195467813329842e+04
6.000000000000000e+01,nan,8.182458681028990e+04
6.500000000000000e+01,nan,8.694157586928585e+04
7.000000000000000e+01,nan,8.978198546549030e+04
7.500000000000000e+01,nan,7.988359851125586e+04
