# Threads,Inactive rate,Active rate
1.000000000000000e+00,6.571554130508375e+02,6.106301743092275e+02
5.000000000000000e+00,2.369015429281334e+03,2.183654465270044e+03
1.000000000000000e+01,4.408915994853634e+03,4.179497529806195e+03
1.500000000000000e+01,6.477329657335697e+03,6.110548391696460e+03
2.000000000000000e+01,8.298947517344495e+03,7.947314624038612e+03
2.500000000000000e+01,9.647068131282238e+03,9.494540018865251e+03
3.000000000000000e+01,1.115212239522253e+04,1.090013150089702e+04
3.500000000000000e+01,1.200155070261771e+04,1.201240559246732e+04
4.000000000000000e+01,1.287487565039699e+04,1.302007117159525e+04
4.500000000000000e+01,1.301156572592057e+04,1.334843220386879e+04
5.000000000000000e+01,1.228233101955878e+04,1.203058981869787e+04
5.500000000000000e+01,1.366713898891546e+04,1.344966642240241e+04
6.000000000000000e+01,1.418310193851245e+04,1.394662435474562e+04
6.500000000000000e+01,1.465243077490529e+04,1.463912725633785e+04
7.000000000000000e+01,1.526705933415729e+04,1.557371951104645e+04
7.500000000000000e+01,1.572965723311015e+04,1.575185667276999e+04
