# Threads,Inactive rate,Active rate
1.000000000000000e+00,6.000630213883971e+02,3.982691987465919e+02
5.000000000000000e+00,1.850738436969852e+03,1.284912009622362e+03
1.000000000000000e+01,3.564780083985657e+03,2.490477875858090e+03
1.500000000000000e+01,5.187783757177418e+03,3.659214898779695e+03
2.000000000000000e+01,6.650148816536775e+03,4.683217407737559e+03
2.500000000000000e+01,7.688306763894731e+03,5.591032909796233e+03
3.000000000000000e+01,8.946262752307235e+03,6.284276236808790e+03
3.500000000000000e+01,9.756792408427613e+03,7.086309689515356e+03
4.000000000000000e+01,1.056668662401665e+04,7.588577463905327e+03
4.500000000000000e+01,1.108878903511311e+04,8.278439646065177e+03
5.000000000000000e+01,1.053516989295862e+04,7.273109865600201e+03
5.500000000000000e+01,1.093457123647702e+04,7.452241679065252e+03
6.000000000000000e+01,1.161052499612865e+04,8.517317878168689e+03
6.500000000000000e+01,1.189889160428472e+04,8.828794721457451e+03
7.000000000000000e+01,1.249147850769377e+04,9.165618410291685e+03
7.500000000000000e+01,1.309762539400497e+04,9.227342371932451e+03
