# Threads,Inactive rate,Active rate
1.000000000000000e+00,6.284111177898521e+02,4.149151943746854e+02
5.000000000000000e+00,1.931791153678570e+03,1.349711111800161e+03
1.000000000000000e+01,3.674836434138280e+03,2.582622973819378e+03
1.500000000000000e+01,5.352699956439153e+03,3.795610973987559e+03
2.000000000000000e+01,6.895940525705400e+03,4.913762476208214e+03
2.500000000000000e+01,8.323562768453075e+03,5.967745481536716e+03
3.000000000000000e+01,9.527247655122053e+03,6.862990821253365e+03
3.500000000000000e+01,1.034004681342442e+04,7.633010369352049e+03
4.000000000000000e+01,1.127278280759987e+04,8.378770305966509e+03
4.500000000000000e+01,1.166785464436042e+04,8.883479223139349e+03
5.000000000000000e+01,1.113605157961605e+04,7.926434826052140e+03
5.500000000000000e+01,1.153877415509685e+04,8.756640235478260e+03
6.000000000000000e+01,1.227244185650767e+04,9.196294253081849e+03
6.500000000000000e+01,1.289213369603275e+04,9.744067623920839e+03
7.000000000000000e+01,1.341868879146094e+04,1.033808137025203e+04
7.500000000000000e+01,1.413627818225702e+04,1.082990061410257e+04
