# Threads,Inactive rate,Active rate
1.000000000000000e+00,nan,6.877214357629847e+03
5.000000000000000e+00,nan,1.964063456459867e+04
1.000000000000000e+01,nan,3.568803616951632e+04
1.500000000000000e+01,nan,4.992390792989393e+04
2.000000000000000e+01,nan,6.216875012647689e+04
2.500000000000000e+01,nan,7.049008768511035e+04
3.000000000000000e+01,nan,7.824061915399753e+04
3.500000000000000e+01,nan,8.098792335826403e+04
4.000000000000000e+01,nan,8.718352297898364e+04
4.500000000000000e+01,nan,8.372923392939934e+04
5.000000000000000e+01,nan,8.227664188808949e+04
5.500000000000000e+01,nan,8.366973994138544e+04
6.000000000000000e+01,nan,8.831272059670907e+04
6.500000000000000e+01,nan,9.159736808598130e+04
7.000000000000000e+01,nan,9.517978390679367e+04
7.500000000000000e+01,nan,9.659920347057238e+04
